Hz,Gain
853.7037037,-3.298732325
854.6296296,-3.207011498
855.5555556,-3.114419055
856.4814815,-3.021724356
857.4074074,-2.9290724
858.3333333,-2.837001029
859.2592593,-2.744412427
860.1851852,-2.652096392
861.1111111,-2.560337366
862.037037,-2.469286012
862.962963,-2.378871806
863.8888889,-2.288908293
864.8148148,-2.201142611
865.7407407,-2.114578522
866.6666667,-2.028616159
867.5925926,-1.943758694
868.5185185,-1.859552994
869.4444444,-1.776124374
870.3703704,-1.693300466
871.2962963,-1.61264085
872.2222222,-1.533692979
873.1481481,-1.455898995
874.0740741,-1.378450202
875,-1.299439208
875.9259259,-1.222583641
876.8518519,-1.150233151
877.7777778,-1.080134859
878.7037037,-1.009894862
879.6296296,-0.939472336
880.5555556,-0.869962806
881.4814815,-0.8013337
882.4074074,-0.732824201
883.3333333,-0.664579771
884.2592593,-0.5970626
885.1851852,-0.529090417
886.1111111,-0.461817702
887.037037,-0.396452938
887.962963,-0.331060911
888.8888889,-0.265850992
889.8148148,-0.201137701
890.7407407,-0.13768257
891.6666667,-0.075778052
892.5925926,-0.014815855
893.5185185,0.045936075
894.4444444,0.106305108
895.3703704,0.165569471
896.2962963,0.223504185
897.2222222,0.279983854
898.1481481,0.335488918
899.0740741,0.390362194
900,0.444194801
900.9259259,0.497689463
901.8518519,0.550028426
902.7777778,0.601741635
903.7037037,0.652681495
904.6296296,0.70273659
905.5555556,0.752098216
906.4814815,0.800634404
907.4074074,0.847491129
908.3333333,0.894067767
909.2592593,0.939755086
910.1851852,0.984280915
911.1111111,1.028312974
912.037037,1.070767803
912.962963,1.112511456
913.8888889,1.152983163
914.8148148,1.191934629
915.7407407,1.229676882
916.6666667,1.265491465
917.5925926,1.300082937
918.5185185,1.333654997
919.4444444,1.365635089
920.3703704,1.395997186
921.2962963,1.424875331
922.2222222,1.452699284
923.1481481,1.479880468
924.0740741,1.506708558
925,1.532646475
925.9259259,1.555385537
926.8518519,1.577604632
927.7777778,1.601370357
928.7037037,1.624593961
929.6296296,1.645166022
930.5555556,1.664449504
931.4814815,1.682061988
932.4074074,1.69703096
933.3333333,1.710324028
934.2592593,1.722446321
935.1851852,1.732997222
936.1111111,1.742156678
937.037037,1.74992832
937.962963,1.756187555
938.8888889,1.761039085
939.8148148,1.765164274
940.7407407,1.768715989
941.6666667,1.771258007
942.5925926,1.771876637
943.5185185,1.770641299
944.4444444,1.768055651
945.3703704,1.763835126
946.2962963,1.758065587
947.2222222,1.750027035
948.1481481,1.739554536
949.0740741,1.725831086
950,1.709846467
950.9259259,1.69220029
951.8518519,1.67336785
952.7777778,1.653533249
953.7037037,1.632801469
954.6296296,1.611857346
955.5555556,1.590102178
956.4814815,1.567333255
957.4074074,1.54505357
958.3333333,1.522406151
959.2592593,1.498385324
960.1851852,1.473444199
961.1111111,1.44732608
962.037037,1.419974575
962.962963,1.391942033
963.8888889,1.362710236
964.8148148,1.333383747
965.7407407,1.302627752
966.6666667,1.27026779
967.5925926,1.236721289
968.5185185,1.201907221
969.4444444,1.165615351
970.3703704,1.127639859
971.2962963,1.088176416
972.2222222,1.04797654
973.1481481,1.006996613
974.0740741,0.965118403
975,0.923417663
975.9259259,0.882329739
976.8518519,0.843098731
977.7777778,0.806615983
978.7037037,0.772880739
979.6296296,0.741097749
980.5555556,0.7117684
981.4814815,0.683662936
982.4074074,0.655922004
983.3333333,0.629102178
984.2592593,0.601239422
985.1851852,0.570937386
986.1111111,0.538048888
987.037037,0.501966005
987.962963,0.464011249
988.8888889,0.425046232
989.8148148,0.384645759
990.7407407,0.342860342
991.6666667,0.301059461
992.5925926,0.2608096
993.5185185,0.222148366
994.4444444,0.18447841
995.3703704,0.148811149
996.2962963,0.115385719
997.2222222,0.084016538
998.1481481,0.054690535
999.0740741,0.026873216
1000,-6.75029e-15
1000.925926,-0.025601668
1001.851852,-0.049683026
1002.777778,-0.073578542
1003.703704,-0.096779589
1004.62963,-0.119285553
1005.555556,-0.140734794
1006.481481,-0.162168841
1007.407407,-0.184044877
1008.333333,-0.205892413
1009.259259,-0.227051403
1010.185185,-0.24834523
1011.111111,-0.270177694
1012.037037,-0.291846279
1012.962963,-0.315323362
1013.888889,-0.339222222
1014.814815,-0.363076189
1015.740741,-0.388236864
1016.666667,-0.414489397
1017.592593,-0.442311637
1018.518519,-0.471708468
1019.444444,-0.501966089
1020.37037,-0.53187076
1021.296296,-0.56403667
1022.222222,-0.598284905
1023.148148,-0.633486376
1024.074074,-0.669829728
1025,-0.705829256
1025.925926,-0.742178206
1026.851852,-0.779335174
1027.777778,-0.816484403
1028.703704,-0.852947025
1029.62963,-0.887478093
1030.555556,-0.920670296
1031.481481,-0.953121048
1032.407407,-0.983407379
1033.333333,-1.010450586
1034.259259,-1.035787197
1035.185185,-1.058949123
1036.111111,-1.078633054
1037.037037,-1.095013622
1037.962963,-1.108744502
1038.888889,-1.119488903
1039.814815,-1.127969041
1040.740741,-1.134278371
1041.666667,-1.137923023
1042.592593,-1.137762597
1043.518519,-1.13646321
1044.444444,-1.132881185
1045.37037,-1.127511971
1046.296296,-1.120389346
1047.222222,-1.11098046
1048.148148,-1.099324546
1049.074074,-1.086864499
1050,-1.074121191
1050.925926,-1.060618833
1051.851852,-1.045630706
1052.777778,-1.02976242
1053.703704,-1.013193753
1054.62963,-0.996687249
1055.555556,-0.980341277
1056.481481,-0.964008476
